Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
Gaming City,"36-10 31st St, Astoria, NY 11106, USA",5.0,2651,N/A,ChIJI1Okj_VfwokRokOWV69lL7o,https://www.gamingcityusa.com/
The Hoptimist,"422 Amsterdam Ave, New York, NY 10024, USA",4.9,123,N/A,ChIJ62nz2LBZwokRHRCqKlMvFCI,http://www.hoptimistbar.com/
The Vale Public House NYC,"3473 Broadway, New York, NY 10031, USA",4.8,238,PRICE_LEVEL_MODERATE,ChIJLc6nSAr3wokRdF20n0J8Eko,https://www.thevalepubnyc.com/
Space Karaoke Bar & Lounge | Koreatown NYC,"34 W 32nd St Floor 11, New York, NY 10001, USA",4.8,3170,N/A,ChIJYwp16KhZwokROVDwDJsxrEY,https://spacekaraoke.com/
The Dickens,"783 8th Ave, New York, NY 10036, USA",4.8,2133,PRICE_LEVEL_MODERATE,ChIJXz1QXE5ZwokRLwJIVmQhyEc,https://www.thedickensnyc.com/
ARORA - L'art Du Cocktail,"505 Park Ave, New York, NY 10022, USA",4.8,234,N/A,ChIJy_EmhXxZwokRYzuAoyAiKnw,https://www.thearora.com/
The Woo Woo,"266 W 47th St, New York, NY 10036, USA",4.8,1881,PRICE_LEVEL_MODERATE,ChIJeVjv6rRZwokRItsQl_bPZ7Q,https://thewoowoonyc.com/
Sir Henry’s,"795 8th Ave 1st Fl, New York, NY 10019, USA",4.8,1186,N/A,ChIJfWVsl1ZYwokR9qnmtWV2pEg,https://sirhenrysnyc.com/
Backstage,"105 W 55th St, New York, NY 10019, USA",4.8,186,N/A,ChIJ-VYrgo1ZwokRP0Cg6qdNZ8o,https://thebackstagenyc.com/
Hendrickson's,"1122 1st Ave, New York, NY 10065, USA",4.7,251,N/A,ChIJJxuk6DhZwokRii01n7jCgQg,https://www.hendricksonsnyc.com/
Craft+Carry Upper West Side,"466 Amsterdam Ave, New York, NY 10024, USA",4.7,160,PRICE_LEVEL_MODERATE,ChIJ2-nCbrJZwokRdESPxLVaoto,https://www.craftandcarry.beer/upper-west-side
Haswell Green's,"240 W 52nd St, New York, NY 10019, USA",4.7,2201,PRICE_LEVEL_MODERATE,ChIJD5EbjMpZwokRZrPRJuwodns,https://haswellgreens.com/
Madame George,"45 W 45th St, New York, NY 10036, USA",4.7,519,N/A,ChIJHXg8BINZwokRpUSDvY8f-3I,https://www.madamegeorgenyc.com/
Hide Rooftop,"Artezen Hotel Lobby Entrance, 24 John St 20th Floor, New York, NY 10038, USA",4.7,211,N/A,ChIJ0QUBXPNbwokRGC3ihVh2NP4,https://www.hiderooftop.com/
The Parlour Room,"70 W 36th St. Front 1b, New York, NY 10018, USA",4.7,957,N/A,ChIJCX5C4u5ZwokR3RzOYiuHifU,https://www.parlourroomnyc.com/
The Dead Rabbit,"30 Water St, New York, NY 10004, USA",4.7,8293,PRICE_LEVEL_MODERATE,ChIJIRiJaRRawokR2KyQ984qa-o,https://thedeadrabbit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile
Theory Lounge & Bar,"331 W 38th St, New York, NY 10018, USA",4.7,135,N/A,ChIJe45zdvJZwokRzXm3Q4BHR8A,https://www.theoryloungebar.com/
The Grisly Pear - Midtown,"243 W 54th St, New York, NY 10019, USA",4.7,375,N/A,ChIJ2coDr_NZwokRAP5zsx2kbok,https://midtown.thegrislypear.com/
Electric Shuffle NYC,"44 W 30th St, New York, NY 10001, USA",4.7,302,N/A,ChIJn22SmFRZwokRM1Ao3bzzWBY,https://electricshuffle.com/us/nyc
Hex & Company,"2911 Broadway, New York, NY 10025, USA",4.7,870,PRICE_LEVEL_MODERATE,ChIJQ_9CkDv2wokR4luLdCr0Jo8,http://www.hexnyc.com/
Speakeasy Magick,"25 W 24th St, New York, NY 10010, USA",4.7,170,N/A,ChIJk1s_e6VZwokR-odalG5EaFM,https://speakeasymagick.com/
The Raven Pub NYC,"1471 1st Ave, New York, NY 10075, USA",4.6,247,N/A,ChIJ_2s_3mtZwokRSCyHnhY0J6s,N/A
RPM Underground,"246 W 54th St, New York, NY 10019, USA",4.6,586,N/A,ChIJIWrceJRZwokRBxXqAQLY9sA,http://rpmunderground.us/
Karaoke K,"2 W 32nd St 3rd floor, New York, NY 10001, USA",4.6,443,N/A,ChIJ9cVKuPBZwokR0137krsaU40,https://karaokek.com/
WOW Karaoke,"10 W 32nd St 4th floor, New York, NY 10001, USA",4.6,545,N/A,ChIJ40B08ahZwokRKPCDKFpkj7E,https://www.wownyny.com/reservations
MAD Bar and Lounge,"22 E 38th St, New York, NY 10016, USA",4.6,113,N/A,ChIJf2n5I6pZwokRwxotRRdpZ1g,https://www.madbar-nyc.com/
The Wallace Lounge,"242 W 76th St, New York, NY 10023, USA",4.6,106,N/A,ChIJrVzFnBxZwokRu7PRnpjlQro,https://thewallace.com/lounge
Scarlet Lounge,"468 Amsterdam Ave, New York, NY 10024, USA",4.6,102,N/A,ChIJpxz7IwBZwokRHZABKwS4I5s,https://scarletloungenyc.com/
Rooftop Bars NYC,"1150 Broadway Entrance, New York, NY 10001, USA",4.6,161,N/A,ChIJ1YtnRfxZwokRH4n4Au99SSY,https://rooftopbarsnyc.com/
SPIN New York Midtown,"1626 Broadway, New York, NY 10019, USA",4.6,137,N/A,ChIJCx3lDtZZwokR3HTb84fDE1s,https://wearespin.com/location/newyorkmidtown/
Coexist GameHouse,"325 W 38th St Ground Floor, New York, NY 10018, USA",4.6,620,N/A,ChIJBYp338VZwokRVhqH2FSaPLw,http://www.coexistgaming.com/
The Uncommons,"230 Thompson St, New York, NY 10012, USA",4.6,1604,PRICE_LEVEL_INEXPENSIVE,ChIJiWmIvJFZwokRVdr0ZDWdHu4,http://uncommonsnyc.com/
George Bang Bang,"13 E 30th St 1st floor, New York, NY 10016, USA",4.6,332,N/A,ChIJ9_y2Cq9ZwokRuq4EQnlD98o,http://www.gbbnyc.com/
Mess Hall Harlem,"2194 Frederick Douglass Blvd, New York, NY 10026, USA",4.5,467,PRICE_LEVEL_INEXPENSIVE,ChIJmc_mBRT2wokRjtM7hV2F0F0,http://www.messhallharlem.com/
The Belfry,"222 E 14th St, New York, NY 10003, USA",4.5,731,PRICE_LEVEL_MODERATE,ChIJMbSU-Z5ZwokR3-m6TX-z8uQ,http://www.belfrynyc.com/
Broadway Dive,"2662 Broadway, New York, NY 10025, USA",4.5,560,PRICE_LEVEL_INEXPENSIVE,ChIJ9T8N2iX2wokRELO5fBJP8sM,http://www.divebarnyc.com/
The Dead Poet,"450 Amsterdam Ave #2, New York, NY 10024, USA",4.5,1064,PRICE_LEVEL_MODERATE,ChIJ02dcCoZYwokReJRvMFYrq-8,http://www.thedeadpoet.com/
Turntable LP Bar & Karaoke,"34-36 W 32nd St 5th Floor, New York, NY 10001, USA",4.5,690,PRICE_LEVEL_MODERATE,ChIJYwp16KhZwokRRQcdgVU4C5w,https://www.turntable32.com/
MS. KIM'S Lounge & Private Karaoke,"6 W 28th St 2nd Floor, New York, NY 10001, USA",4.5,217,N/A,ChIJgZUXdiBZwokRRDLXtbXe-F8,http://mskims.co/
Prohibition,"503 Columbus Ave, New York, NY 10024, USA",4.5,1031,PRICE_LEVEL_MODERATE,ChIJSc_3GIVYwokRh6OzVnCnh6g,http://prohibition.net/
Shrine,"2271 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA",4.5,1995,PRICE_LEVEL_INEXPENSIVE,ChIJmU3ycHH2wokR6A8gMLe9sNY,http://www.shrinenyc.com/
Ashford & Simpson's Sugar Bar,"254 W 72nd St, New York, NY 10023, USA",4.5,1006,PRICE_LEVEL_MODERATE,ChIJyxs07mFYwokRGlBd5nyxHLc,http://www.sugarbarnyc.com/
Smoke Jazz & Supper Club,"2751 Broadway, New York, NY 10025, USA",4.5,1395,PRICE_LEVEL_MODERATE,ChIJS_7f3yT2wokR4dsAb0bTwDo,http://www.smokejazz.com/
Albert’s Bar,"140 E 41st St, New York, NY 10017, USA",4.5,484,PRICE_LEVEL_MODERATE,ChIJTUnFcYpZwokRnDeckKVR3Nw,https://www.albertsbar.com/
Dear Irving on Hudson Rooftop Bar,"310 W 40th St, New York, NY 10018, USA",4.5,1493,PRICE_LEVEL_EXPENSIVE,ChIJmyM5dF1ZwokRD9lUmRAzQOI,http://www.dearirving.com/
Bodega 88,"573 Columbus Ave, New York, NY 10024, USA",4.5,679,PRICE_LEVEL_MODERATE,ChIJpRbiUptYwokRzWHItu8N4BE,http://www.bodega88nyc.com/
Dolly's,"302 W 51st St, New York, NY 10019, USA",4.5,1010,PRICE_LEVEL_MODERATE,ChIJGxgc_lZYwokRZUwtia280Uo,http://dollys51.com/
Hex & Company,"1462 1st Ave, New York, NY 10075, USA",4.5,402,PRICE_LEVEL_MODERATE,ChIJ4ZdjE21ZwokRL0TaiB5goHk,http://hexnyc.com/
Little Dipper,"135 W 30th St, New York, NY 10001, USA",4.5,102,N/A,ChIJWXeePgBZwokRjyCUzI8-NjE,http://www.littledippernyc.com/
Barcelona Bar,"923 8th Ave, New York, NY 10019, USA",4.5,830,PRICE_LEVEL_INEXPENSIVE,ChIJte5SHFhYwokRV50VmHOsjYM,http://www.barcelonabarnyc.com/
Raines Law Room Chelsea,"48 W 17th St, New York, NY 10011, USA",4.5,1370,PRICE_LEVEL_EXPENSIVE,ChIJp-sFzaJZwokRdyaZMsu_DkU,http://www.raineslawroom.com/
The Guthrie Inn,"1259 Park Ave, New York, NY 10029, USA",4.5,115,PRICE_LEVEL_MODERATE,ChIJ6_yH46ZYwokR1q4cyEFUSlY,https://www.theguthrieinn.com/
Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,747,PRICE_LEVEL_MODERATE,ChIJUXw24mFYwokRJOLOwPHe0fg,http://www.beerculture.nyc/upper-west-side
e's BAR,"511 Amsterdam Ave, New York, NY 10024, USA",4.4,986,PRICE_LEVEL_MODERATE,ChIJoQuVSIRYwokRuuabI0lpCi0,https://e-barnyc.com/
Boho Karaoke Orchard,"152 Orchard St, New York, NY 10002, USA",4.4,1191,PRICE_LEVEL_INEXPENSIVE,ChIJKR0D7YNZwokRnx88NqLBzAA,http://www.karaokeboho.com/
Chorus Karaoke,"25 W 32nd St 3rd floor, New York, NY 10001, USA",4.4,1260,PRICE_LEVEL_MODERATE,ChIJ1QlZ4KhZwokRrMJJ1BluEXg,https://www.choruskaraoke.com/
Gagopa Karaoke,"28 W 32nd St #3fl, New York, NY 10001, USA",4.4,649,PRICE_LEVEL_INEXPENSIVE,ChIJQYq46KhZwokRPyXGganv1Vw,http://gagopakaraoke.com/
32 Karaoke,"32 W 32nd St, New York, NY 10001, USA",4.4,294,N/A,ChIJA5986KhZwokRkWOWRE-MATw,http://www.32karaoke.com/
Two Doors Down,"159 E Houston St, New York, NY 10002, USA",4.4,131,N/A,ChIJn4jsxcJZwokRQYZkTGbsZrk,https://www.twodoorsdown.nyc/
The Red Lion | NYC,"151 Bleecker St, New York, NY 10012, USA",4.4,1911,PRICE_LEVEL_MODERATE,ChIJP-ez6JFZwokRmE9GgYPsvUA,http://redlionnyc.com/
Harlem Nights,"2361 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA",4.4,1143,PRICE_LEVEL_MODERATE,ChIJ9_kfOnf2wokRrq8gM_GzsXw,http://www.harlemnights.nyc/
The Rum House,"228 W 47th St, New York, NY 10036, USA",4.4,2104,PRICE_LEVEL_MODERATE,ChIJq38lzVVYwokRSQFHWasfeqc,http://www.therumhousenyc.com/
Ascent Lounge,"10 Columbus Cir 4th Floor, New York, NY 10019, USA",4.4,648,PRICE_LEVEL_EXPENSIVE,ChIJQWE0GfZYwokRWew6C2N5mS8,https://ascentloungenyc.com/
Lady Blue,"363 W 46th St, New York, NY 10036, USA",4.4,265,N/A,ChIJ__904VNYwokRWVjkJ3KCJqE,https://www.ladybluenyc.com/
NOTHING REALLY MATTERS,"IN THE SUBWAY, 210 W 50th St, New York, NY 10019, USA",4.4,460,PRICE_LEVEL_MODERATE,ChIJzYGZaYVZwokReGxLxgK2oNw,http://nothingreallymatters.party/
Swingers NoMad,"35 W 29th St, New York, NY 10001, USA",4.4,1224,PRICE_LEVEL_MODERATE,ChIJZUlWUh5ZwokRltgAO34mHJE,https://swingers.club/us/locations/nyc?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=nyc
Paradise Lost,"100 2nd Ave, New York, NY 10003, USA",4.4,458,N/A,ChIJr_CugNxZwokRYRqcXtzJ8sQ,http://paradiselost.nyc/
Otto's Shrunken Head,"538 E 14th St, New York, NY 10009, USA",4.4,898,PRICE_LEVEL_INEXPENSIVE,ChIJR4DCmHZZwokRabhwmFJnhnE,http://www.ottosshrunkenhead.com/
Patent Pending,"49 W 27th St, New York, NY 10001, USA",4.4,1074,PRICE_LEVEL_EXPENSIVE,ChIJo7aE7KVZwokROU0QFO30FLA,https://www.patentpendingnyc.com/
Lantern's Keep,"49 W 44th St, New York, NY 10036, USA",4.4,252,PRICE_LEVEL_EXPENSIVE,ChIJyfX57v9YwokR0Sml4dcf-MM,https://www.iroquoisny.com/dine-drink/lanterns-keep
Dive 75,"101 W 75th St, New York, NY 10023, USA",4.3,642,PRICE_LEVEL_INEXPENSIVE,ChIJKcIAUYlYwokR_ur7CccUjXk,http://www.divebarnyc.com/
Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,816,PRICE_LEVEL_MODERATE,ChIJgw4RkYhYwokRhBFpraTWNwM,https://www.blondiessports.getsauce.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=blondiessports
Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,1397,PRICE_LEVEL_MODERATE,ChIJuxMTB4lYwokRzfHnU2YRcsM,http://www.amsterdamalehouse.nyc/
The Fox Harlem,"2224 Frederick Douglass Blvd, New York, NY 10026, USA",4.3,294,PRICE_LEVEL_MODERATE,ChIJZQ6FpBb2wokRwnkohLB7_zc,https://www.thefoxharlem.com/
Dive Bar,"732 Amsterdam Ave, New York, NY 10025, USA",4.3,1414,PRICE_LEVEL_MODERATE,ChIJK8wm5yf2wokR9QqGu_Lodr0,http://www.divebarnyc.com/
Down the Hatch,"179 W 4th St, New York, NY 10014, USA",4.3,1478,PRICE_LEVEL_INEXPENSIVE,ChIJ9y3B8ZNZwokR3WxwIDDjtk0,https://www.downthehatchnyc.com/
Karaoke City,"22 W 32nd St 7th Floor, New York, NY 10001, USA",4.3,1132,PRICE_LEVEL_MODERATE,ChIJO_QT76hZwokRFp_9y5N6RQY,http://www.karaokecitynyc.com/
Iggy's,"1452 2nd Ave, New York, NY 10021, USA",4.3,713,PRICE_LEVEL_INEXPENSIVE,ChIJx40Yfr9YwokRAipeh3042ds,http://iggysnewyork.com/
Japas Karaoke,"9 E 38th St, New York, NY 10016, USA",4.3,544,PRICE_LEVEL_MODERATE,ChIJuW5euABZwokR811UTN9yjxc,http://www.japasny.com/
Groove,"125 MacDougal St, New York, NY 10012, USA",4.3,1244,PRICE_LEVEL_MODERATE,ChIJkUHgeJFZwokRQXNa_wrBAqA,http://www.clubgroovenyc.com/
The Duplex,"61 Christopher St, New York, NY 10014, USA",4.3,1265,PRICE_LEVEL_MODERATE,ChIJw-gIcpRZwokRz2K4g1SPOS4,https://www.theduplex.com/
Don't Tell Mama,"343 W 46th St, New York, NY 10036, USA",4.3,1091,PRICE_LEVEL_MODERATE,ChIJl4I7-1NYwokRSfPc7BPZkI8,http://www.donttellmamanyc.com/
The Empire Rooftop,"44 W 63rd St, New York, NY 10023, USA",4.3,915,PRICE_LEVEL_EXPENSIVE,ChIJuXQtkvVYwokRRboH64ZuddM,http://www.theempirerooftop.com/
