Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
The Escape Game NYC (Times Square),"1619 Broadway, New York, NY 10019, USA",5.0,912,N/A,ChIJg56mEdhZwokRDFlxYxUPu9k,https://theescapegame.com/newyorkcity/
The Escape Game NYC (Midtown Manhattan),"295 Madison Ave, New York, NY 10017, USA",5.0,9114,N/A,ChIJwwwGE_tZwokRmpfoXySK-x0,https://theescapegame.com/newyorkcity/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=newyorkcity
Tidal Force VR,"166 5th Ave 2 Floor, New York, NY 10010, USA",5.0,1355,N/A,ChIJyWM9D7FZwokRm7KE7sXxt1Q,https://tidalforcevr.com/
Great Big Game Show New York City,"1619 Broadway, New York, NY 10019, USA",5.0,682,N/A,ChIJN5rPfdFZwokRKyFUcw3D_e0,https://greatbiggameshow.com/newyorkcity/
Beat The Bomb Brooklyn,"255 Water St, Brooklyn, NY 11201, USA",5.0,15743,N/A,ChIJeQK8JjNawokRHe4x0TextbU,https://www.beatthebomb.com/locations/brooklyn
The Escape Game Brooklyn,"445 Gold St C-014b, Brooklyn, NY 11201, USA",5.0,4143,N/A,ChIJDUZjDelbwokROipLkMCh4vw,https://theescapegame.com/brooklyn/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=brooklyn
The Escape Game New Jersey at American Dream,"1 American Dream Wy Suite G313, East Rutherford, NJ 07073, USA",5.0,9279,N/A,ChIJX2675Uj5wokRWcfz7QF-_S8,https://theescapegame.com/newjersey/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=newjersey
MyssTic Rooms,"794 Union St, Brooklyn, NY 11215, USA",5.0,1078,N/A,ChIJAxumYUhbwokRj7DtNhbPpoc,https://www.myssticrooms.com/
Escape the Room NYC,"24 W 25th St floor 8, New York, NY 10010, USA",4.9,10927,N/A,ChIJmTomSKRZwokRi6FZRDvc3oE,https://escapetheroom.com/new-york/
BrainXcape Escape Room NYC,"160 Broadway 3rd floor, New York, NY 10038, USA",4.9,4199,N/A,ChIJTfOhQKNZwokRDK5539BnMH0,https://www.brainxcape.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Immersive Gamebox - Lower East Side,"81 Essex St, New York, NY 10002, USA",4.9,3926,N/A,ChIJAYNgfoVZwokRhOhogiV11mM,https://immersivegamebox.com/locations/ny-lower-east-side-manhattan/?venue=skills.tiger.pretty
Escape Room NYC - Mission Escape Games,"265 W 37th St Suite 802A, New York, NY 10018, USA",4.8,1630,N/A,ChIJnc6m4ydawokRUi0a-XyHfv0,https://missionescapegames.com/nyc/
Exit Escape Room NYC,"247 W 36th St. Suite 101, New York, NY 10018, USA",4.8,1249,N/A,ChIJQ51w86xZwokRqQmAINBZSio,https://www.exitescaperoomnyc.com/
Komnata Quest Brooklyn,"104 West St, Brooklyn, NY 11222, USA",4.8,815,N/A,ChIJw1YXI0BZwokRa7_j91GtNsM,https://komnataescaperoom.com/
PanIQ Escape Room NYC,"39 W 32nd St 4th floor, New York, NY 10001, USA",4.7,1268,N/A,ChIJf4Zj4KhZwokRgCinALbAlcI,https://paniqescaperoom.com/nyc/en
"Brooklyn Escape Room, Nerf Blasters, & Birthday Parties","Industry City, 68 34th St Building 6 second floor, Brooklyn, NY 11232, USA",4.7,669,N/A,ChIJ_6PrLdRbwokRGaWV7Qfc4xs,http://www.brooklynescaperoom.com/
Escape Room Madness NYC,"38 W 32nd St 5th Floor, Ste 500, New York, NY 10001, USA",4.6,990,N/A,ChIJYeZf3ahZwokRZv_A9SIC2YU,https://escaperoommadness.com/
SPYSCAPE & SPYGAMES,"928 8th Ave, New York, NY 10019, USA",4.5,5659,N/A,ChIJTZoUA1hYwokRKneaNqQpIf8,https://spyscape.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB+Site
