Name,Address,Rating,Total Ratings,Price Level,Place ID,Website,Photo_URL
Living Room Laughs,"555 Madison Ave 5th floor, New York, NY 10022, USA",5.0,138,N/A,ChIJZblXaL5ZwokR-0Uctqy7N0o,http://www.livingroomlaughs.com/,https://places.googleapis.com/v1/places/ChIJZblXaL5ZwokR-0Uctqy7N0o/photos/AU_ZVEFYSLDf7x_IIbgTYIjnb-VXaX5TP3RcJwIlyzoBHbf6i_-NrwUyExumr-0bKPhQxl2nh8zflP14157xvorBTbnqZ_ClM34f5vICdsIzoSM5xqhkazI_Ltz6lSf_i47Do5KArTPhlNXXwCZEj4uEpOGKlBYMu85ZxXU7vSJ5AAUh8Tpp2NIYKgFrKhGSrcycFIfe1nfXHLPWiMKQpDaGPGIw7eYnWPh62zKWBs_c0xvdnVx3duBjhvF-AXi_576nsoFikYguqaDNm2rNSN460cSnxUWKKHWIwEP_VFjQoKwjtA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Top Secret Comedy Club,"44 Avenue A, New York, NY 10009, USA",5.0,231,N/A,ChIJy9F6MLpZwokRuboxbvkGXd8,https://topsecretcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJy9F6MLpZwokRuboxbvkGXd8/photos/AU_ZVEHKWM-Tq6kn3Q9Z9Tk1qb9Fcx530lx8hd_wEr2COOm9qklzqRQ3wfNwKEv1elQ4Sk8VukCOVz6vEqg6wprRhq7RRe6AN2qVrPgOq6rrW2AXQ4RMYIOnfb6P-m-hdvMu0cQKV_Or03Fe5LqN7HAjPyl8lP5zaZOK7RlyEGTvA0gEUN31rZjjAn8969ERH4fn0a4wmYp3UC9GoKaq72b6bEs3_mFxo_1JyROorB3ZAk4kcEp0gHBqShaYK70uqYPKwLzw4iec_N1OocnoY70CiXE30pVjJ-YnaTRMsNGhq3srhg/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Comedy Village,"352 W 44th St, Manhattan, NY 10036, USA",4.9,3110,N/A,ChIJkXbVP0BZwokRijbXLj5yOfY,https://comedyvillage.com/?utm_source=google&utm_medium=gmb&utm_campaign=gmb_profile,https://places.googleapis.com/v1/places/ChIJkXbVP0BZwokRijbXLj5yOfY/photos/AU_ZVEHXlsL0AWTysL_uNpX2QBvOAFypOCM-uLuj3CJhGjUjAL2SiLCsRDqmwN_s1IGyOq45-G1Hw1aCnLJ6PIc-3k__1-6MTsyeuujB_tCqMDzdzPeeCE4zPR-btnMS9eOeTK4lY_clVrp_Cr_c4B_eAKsaYPmSlXoixy-h8iMBYoulii1kH8ftE02dDIJrga2emJ7sJJtvXa4wBfyGBgXNDMaeMlKchdd3Y7lvUJmW8Ff31i4BdqxSmS1WRznX5az7gImekyR5xVddrO8sDgxMSE9XhsEN8rQUVBjzCOySTSfecg/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
High Line Comedy Club,"446 W 14th St, New York, NY 10014, USA",4.9,547,N/A,ChIJXfsikHhZwokRxr1XAbft_X8,http://highlinecomedy.com/,https://places.googleapis.com/v1/places/ChIJXfsikHhZwokRxr1XAbft_X8/photos/AU_ZVEEFuw7X_m8WmbW7pkseHU0Izarp896KFxlESlAjPqy4Br_JQ0kUhudjCAykOOHtR9eogmG-Nlvz7dEKkKHtC4iCmaloB6VBt2JdNzLyZfeDlIl9mWHOTr7NzPj6Na9oPExaTtIBltoTpYULsDp2TotCg5cQMjFh4Cw7Wm5i8rL7-vpC0SiR5iPGbeoQ-iMOqYVjyWsEKmxknjg5l-sxc2QPjITtSSPE9rfuPxf63l1AfLHhN7XBK5sAtuX2Jz6BHhJslQFFo4HfswYSb8lWcI9FpRAtzhzqiR9SrWvLJUOh6A/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Drunk Shakespeare,"35 W 39th St, New York, NY 10018, USA",4.8,2574,N/A,ChIJTX7ob1NYwokRp-KL5mXIRag,http://www.drunkshakespeare.com/,https://places.googleapis.com/v1/places/ChIJTX7ob1NYwokRp-KL5mXIRag/photos/AU_ZVEFG1CqrMitT7plqr5jUZrqRmTTFazzTpiVHnnxJwsuuzC7M88t61b_rzBEgcbGq1CqOh3-5kzT-E3dDjEU79dy4Nf6meBScukAi916apOYOrdcUkNM9DnhsmdW-9OxVSJGwWo596flXlA7EoidnynYl8XkJFQu-sLMot9lT19X7GMc5WAM1iirKZ4TnaATQw8xGKblxtVWOCMtRO5Ck92A5St5Ygp93qYgcneiW1EB0KJ-ub5A-wxKofXat42iVVmh3w7oPV9jFspj8tWsRV48RLPD6EiibjAXFv-x1v1aoGg/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Comedy In Harlem,"750A St Nicholas Ave, New York, NY 10031, USA",4.8,273,N/A,ChIJl7xKMNj1wokRvgM-m84Fxp4,http://www.comedyinharlem.com/,https://places.googleapis.com/v1/places/ChIJl7xKMNj1wokRvgM-m84Fxp4/photos/AU_ZVEG2VSjPLFpvBgkqk2oushKjdEyLOwMvTp4Zt33ahblpsTnATa8-gwq5M0fFZY-uIdDIh-fOQ6RYF-BQbvrfSZqUyNQEEjSu9BePTHhTmR9M9o3el4CVHQ79dq0zUN8gQOl4lUtzwdQVst2qrIM19Uby--E24ZZuqa9pvA9BanCdP_JU1fKTd8EmBV9-qKDmhkgQx59vdgO4dtixrlmelruI6Zdm8l2u7roY9Z-S-cTKts3TZ2XPCIQiy66yQMvrXT0-Yu1eQIbPOwO9Vf49_CFsPU2eEaGfp9Q41G44r-Fj-0rim3cIJOnkmYvZsLF21_o6kPlIkL7xKIbr0LnVA11NqCW0tRuoZuXiP8Nq2AQ4-A9HDntp9Q2el1TpKtOzTZawBVRKqggDMo2nf5j_z7SgbVh2FRpzEZPySOeJ4mjq8Jdn/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Rodney's Comedy Club,"1118 1st Ave, New York, NY 10065, USA",4.8,458,N/A,ChIJibPhfQBZwokRCu_dHOrtZa0,http://www.rodneysnewyorkcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJibPhfQBZwokRCu_dHOrtZa0/photos/AU_ZVEEvLAsloxA2WQ1Jt0gh0XzeIgVctwMIoHoMSSWt1g2lWi4BFrJnlKsbWwsYb2K0e702vQKzZkqBaTnwNXBiK0ypS47oiPSAdRcGAabRcd_QVV3q-1P8I5OzRUp3EnfCAM9x3sb_b0TJQczpruSDBnQfuda3F1hXIkFzCPkvYAbNCGDiVGjZWjltcabtMzi9ApqM_vSxqmAOmS62wFVWKoKFgY15OwXihfWdOykB4dtTmTs4eU6gUU2mrXwT_JeKZwzT7hhOWXBzt-P58bzbFRY_ORLNJN8o0wviEmN_Mb0lEA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Magnet Theater,"254 W 29th St, New York, NY 10001, USA",4.7,412,N/A,ChIJRah4JbBZwokRz1TqRgdn3Es,https://magnettheater.com/,https://places.googleapis.com/v1/places/ChIJRah4JbBZwokRz1TqRgdn3Es/photos/AU_ZVEFOI6S4v-yKnO--w7YlM4eUnxUQ9lrFPmeMUgt_WaO7Omn5Qfm0hMp6m4DtADy6aYXCi6Iki7iJrKBBDeK-oNwHJBuBgphqrOiglNI445SSl1pWrQ4jx9k9bO3X-DhpEoHl0MMCs9-33bNPGQ4BbMvzwA5-ca5lDzLaGqSkYsqGRj83Mk0nc_ZicFsEx7OzokAb_JkARQSRpXJxIoAgaNayiNcDzMbqiu49Xnxe1p275iEuxtCkal58OWMnj1SbKeOSGgzHNAkuL6up2O_FpusMwLTtmS18M4nC-p2pdkamxA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
The Second City New York,"64 N 9th St, Brooklyn, NY 11249, USA",4.7,274,N/A,ChIJv4cccglZwokRwENgJq6qkXs,https://www.secondcity.com/new-york,https://places.googleapis.com/v1/places/ChIJv4cccglZwokRwENgJq6qkXs/photos/AU_ZVEGL1sVgZblc-k91ooDcaXBV8ktZD4eIV0JzBCDQDWWxXzseDQ0WVBFlh5ehjP0TTAddlSQ9GrCPhqFCqlp22RRb5Byh54Xy5InYY8QhbbdpLB0ZPToPLFqRjADEqhPJenwbVRVGDfr57VI9JgROvALvcD_qUCPP4lLlA2RIzr28P6WZk-6PbxFAMBUFfbJtuvqW4fNTHCS3VuQ2gxhiRY1u9MucvXVGfoIGvGIO3wRXBh5NbZosLJBOWElprLqRgRgYUQTq5Y0X3Bs-jew9bBeP_gQ7xRXvHb8qX2qaxyURwFudxybL7mGiaC-gC8YX1MJa_EQCY1BTxWdwjp4XlUcmUuyPDp-SN60mYr8jfWGCcox-kOnkYS0ZbDdfZ_HfACL8VvvrX6ktx28ys5_JrTMDU5-ENQL7lPsaTNo4LIiAjs-2/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Comedy Cellar,"117 MacDougal St, New York, NY 10012, USA",4.7,7711,PRICE_LEVEL_EXPENSIVE,ChIJmzPYgJFZwokRg4zUwTlZwtI,http://comedycellar.com/,https://places.googleapis.com/v1/places/ChIJmzPYgJFZwokRg4zUwTlZwtI/photos/AU_ZVEGE5wPtgXFDbBjYz5InsedezOYifcecylbcsps6XLwfQhleSDRG-cVM4PvrCH_Puy3WhrNHPGecmulxLSwIQSHsqlB8XehhGXY0yTNIfyKjwKHWJFE95fsQajJtbLWSg_BBnXG71fMIQ3732yniYwML4bOJWxjkgF39VXArc0Qlj95U_JzBJVGuqF1iqrYlDU68JK4GdG4H99uAjMemEMWCyVxDBOvNTydLtq9MmKt9w4J_M040XBARV1MOGX9JUllpd2F4xseFBML7EFWrkGjyPQFgwhfwdtpK9hvG_2lesW7MKs-J_O_8OeYX4BKpMf2Cj4sBOQ5sTI124LTei0JWA1Aqj_UbTQRERzfoDyE9xOJNV08H4b0-zphaEQQpUyx5rMbSFwO8fk44J15EXwoF8oqiz93pPBs3XfgRZbL_Ug/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
