Name,Event,Description,Cost,Date,Time,Address,Ticket_URL,Keywords
Top Secret Comedy Club,FREE Comedy Thursdays (8pm Show),A mixed-bill stand-up show featuring multiple comedians with occasional celebrity drop-ins. No drink minimum and donations may be collected after the show.,FREE,2026-04-30,8:00 PM,"44 Avenue A, New York, NY 10009, USA",https://fixr.co/event/free-comedy-thursdays-8pm-show-tickets-728896485,"improv, stand-up, comedy, humor, casual, energetic, groups, free, celebrity-guests"
Top Secret Comedy Club,$15 Friday Stand-up Comedy! (8pm Show),A mixed-bill stand-up show featuring several comedians; beers from $5 and no drink minimum. Lineups are subject to change.,$15 Students: $12,2026-05-01,8:00 PM,"44 Avenue A, New York, NY 10009, USA",https://fixr.co/event/15-fridays-8pm-show-tickets-649819150,"comedy, stand-up, humor, laughs, energetic, casual, adults, groups, comedy-show, affordable-drinks"
Top Secret Comedy Club,$15 Friday Stand-up Comedy! (10:30pm Show),A late mixed-bill stand-up show featuring multiple comedians and guest performers. Beers from $5 and no drink minimum.,$15 Students: $12,2026-05-01,10:30 PM,"44 Avenue A, New York, NY 10009, USA",https://fixr.co/event/15-fridays-1030pm-show-tickets-618563652,"comedy, stand-up, humor, late-night, energetic, groups, adults, mixed-bill, drink-friendly"
Top Secret Comedy Club,Saturday Stand Up Comedy 8pm Show,An evening mixed-bill stand-up show with a lineup of established and rising comedians. No drink minimum; enjoy beers from $5.,$15 Students: $15,2026-05-02,8:00 PM,"44 Avenue A, New York, NY 10009, USA",https://fixr.co/event/saturday-stand-up-comedy-8pm-show-tickets-644957816,"comedy, stand-up, humor, comedian, energetic, groups, affordable, mixed-bill, rising-comics"
Top Secret Comedy Club,Saturday Stand Up Comedy 10:30pm Show,A late-night mixed-bill stand-up show featuring multiple comedians performing short sets. Lineups may change without notice.,$15 Students: $12,2026-05-02,10:30 PM,"44 Avenue A, New York, NY 10009, USA",https://fixr.co/event/saturday-stand-up-comedy-1030pm-show-tickets-64015553,"comedy, stand-up, humor, comedian, late-night, energetic, groups, adults, mixed-bill, lineup-changes"
Comedy Village,"Times Square Comedy | Thur, April 30th @9 PM","Keep the night going with a 9 PM late show that brings an edgier, no-holds-barred stand-up comedy experience to Times Square. The late-night lineup spotlights club killers from Netflix, Comedy Central, HBO, and the New York comedy circuit, with surprise drop-ins.",$25.00,2026-04-30,9:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-thur-april-30th-9-pm/,"improv, comedy, stand-up, late-night, energetic, adults, edgy-comedy, surprise-guests"
Comedy Village,"NYC Stand-Up | Fri, May 1st @8 PM","Kick off your Friday night with a prime-time 8 PM stand-up show featuring a curated lineup of NYC comedians with credits from Netflix, Comedy Central, HBO, and top podcasts. The show offers smart, high-energy stand-up about city life, dating, work stress, and wild New York stories.",$28.00,2026-05-01,8:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-fri-may-1st-8-pm/,"improv, stand-up, comedy, comedian, energetic, adults, date-night, friday-night, netflix-comedians"
Comedy Village,"Times Square Comedy | Friday, May 1st @10 PM","At 10 PM, Comedy Village turns up the volume with a late show built for serious comedy fans and New York night owls. This Times Square showcase features club killers and special guests for a fast, no-filler show.",$28.00,2026-05-01,10:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-friday-may-1st-10-pm/,"improv, comedy, stand-up, late-night, energetic, adults, rowdy, club-comedy, special-guests"
Comedy Village,"NYC Stand-Up | Fri, May 1st @11 PM","Close out your Friday with an 11 PM show that leans into bold, unfiltered stand-up comedy in the heart of Times Square. The late-late show showcases fearless New York comedians, wild stories, and crowd work that could only happen in a packed NYC comedy club.",$28.00,2026-05-01,11:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-fri-may-1st-11-pm/,"improv, stand-up, comedy, late-night, energetic, adults, rowdy, unfiltered-comedy, crowd-work"
Comedy Village,"Times Square Comedy | Saturday, May 2nd @8 PM","At 8 PM, Comedy Village brings a bigger, louder late show that taps into the full Saturday night energy of Times Square. The stand-up showcase mixes club regulars, touring headliners, and surprise drop-ins for a lively, unpredictable lineup.",$28.00,2026-05-02,8:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-saturday-may-2nd-8-pm/,"improv, comedy, stand-up, energetic, rowdy, adults, groups, late-night, touring-headliners, Saturday-night"
Comedy Village,"Times Square Comedy | Saturday, May 2nd @10 PM","At 10 PM, Comedy Village brings a bigger, louder late show that taps into the full Saturday night energy with fast-paced sets from multiple comedians and surprise drop-ins. This show captures the full Saturday night vibe of Times Square for comedy fans.",$28.00,2026-05-02,10:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-saturday-may-2nd-10-pm/,"improv, comedy, stand-up, energetic, late-night, rowdy, groups, adults, saturday-night, surprise-guests"
Comedy Village,"NYC Stand-Up | Saturday, May 2nd @11 PM","The 11 PM show is built for night owls who want unfiltered, anything-can-happen comedy in the middle of Times Square. With a loose, late-night vibe, this show features big personalities, strong material, and fearless crowd work.",$28.00,2026-05-02,11:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-saturday-may-2nd-11-pm/,"comedy, stand-up, humor, late-night, energetic, adults, unfiltered-comedy, crowd-work"
