Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
Tara Mor | NYC,"150 W 30th St, New York, NY 10001, USA",4.9,507,N/A,ChIJ20Lo8cdZwokRyW0EGwA-wwk,https://www.taramornyc.com/
Marjorie Eliot's Parlor Entertainment Harlem,"555 Edgecombe Avenue Suite 3F (Buzzer, #107, New York, NY 10032, USA",4.9,240,N/A,ChIJY-TbyoP2wokR7y0YfHv10UA,http://jazzfoundation.org/parlor
The Rooftop at Pier 17,"89 South St Pier 17, New York, NY 10038, USA",4.8,496,N/A,ChIJ6QjrLbhbwokRpPEAYkOJhb8,https://rooftopatpier17.com/
The Appel Room,"10 Columbus Cir, New York, NY 10019, USA",4.8,148,N/A,ChIJ_-K7rlhYwokR64t3Hxcz5G4,http://www.jazz.org/venues/the-appel-room-64/
Radio City Music Hall,"1260 6th Ave, New York, NY 10020, USA",4.8,27248,N/A,ChIJPS8b1vhYwokRldqq2YHmxJI,https://www.msg.com/radio-city-music-hall
Stern Auditorium / Perelman Stage,"881 7th Ave, New York, NY 10019, USA",4.8,544,N/A,ChIJ2RFUePdYwokRHaV_7aA__TI,https://www.carnegiehall.org/About/Building-Overview/Stern-Auditorium-Perelman-Stage
Lincoln Center for the Performing Arts,"Lincoln Center Plaza, New York, NY 10023, USA",4.8,21449,PRICE_LEVEL_VERY_EXPENSIVE,ChIJN6W-X_VYwokRTqwcBnTw1Uk,https://www.lincolncenter.org/
Bill's Place,"148 W 133rd St, New York, NY 10030, USA",4.8,386,N/A,ChIJEdAA33P2wokRdlpaBT2KJTw,http://www.billsplaceharlem.com/
Birdland Jazz Club,"315 W 44th St, New York, NY 10036, USA",4.7,4863,PRICE_LEVEL_EXPENSIVE,ChIJdc9EhVNYwokR-naSYfm_Urc,https://www.birdlandjazz.com/
Pier 17,"89 South St, New York, NY 10038, USA",4.7,12102,N/A,ChIJR1pTRTxawokRyzoX5XQ_alI,https://rooftopatpier17.com/
The Glasshouse,"660 12th Ave Floor 6, New York, NY 10019, USA",4.7,460,N/A,ChIJrf7Qv_9YwokRPVsYYIDdp6g,http://theglasshouses.com/
Haswell Green's,"240 W 52nd St, New York, NY 10019, USA",4.7,2201,PRICE_LEVEL_MODERATE,ChIJD5EbjMpZwokRZrPRJuwodns,https://haswellgreens.com/
Madame George,"45 W 45th St, New York, NY 10036, USA",4.7,519,N/A,ChIJHXg8BINZwokRpUSDvY8f-3I,https://www.madamegeorgenyc.com/
Carnegie Hall,"57th Street and, 7th Ave, New York, NY 10019, USA",4.7,9691,N/A,ChIJ2RFUePdYwokRd5R6XF6xFD0,https://www.carnegiehall.org/
The Dead Rabbit,"30 Water St, New York, NY 10004, USA",4.7,8293,PRICE_LEVEL_MODERATE,ChIJIRiJaRRawokR2KyQ984qa-o,https://thedeadrabbit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile
Winnie's Jazz Club,"63 W 38th St, New York, NY 10018, USA",4.7,573,N/A,ChIJl6r9TqpZwokRYemwGgmWnek,https://winniesjazzclub.com/
Terra Blues,"149 Bleecker St, New York, NY 10012, USA",4.7,1420,PRICE_LEVEL_MODERATE,ChIJ5ais55FZwokR78b9lEBgVz4,http://www.terrablues.com/
Kaufmann Concert Hall,"92NY Residence, 1395 Lexington Ave, New York, NY 10128, USA",4.7,216,N/A,ChIJbQ4shqRYwokRj5fWqoWtTRA,http://www.92y.org/
Zankel Hall,"881 7th Ave, New York, NY 10019, USA",4.7,163,N/A,ChIJhen76z_2wokRxC36ViWMOSA,https://www.carnegiehall.org/About/Building-Overview/Zankel-Hall
Weill Recital Hall,"154 W 57th St, New York, NY 10019, USA",4.7,323,N/A,ChIJM5mccPdYwokRmUkgsmRZ7bY,https://www.carnegiehall.org/About/Building-Overview/Weill-Recital-Hall
David Geffen Hall,"10 Lincoln Center Plaza, New York, NY 10023, USA",4.7,1685,N/A,ChIJn-Ah-fVYwokRDjfwaZZwJDc,https://nyphil.org/
Madison Square Garden,"New York, NY 10001, USA",4.7,33850,N/A,ChIJhRwB-yFawokR5Phil-QQ3zM,https://www.msg.com/madison-square-garden
Beacon Theatre,"2124 Broadway, New York, NY 10023, USA",4.7,7062,PRICE_LEVEL_EXPENSIVE,ChIJEdN5k4lYwokRuNPGGOZUwOQ,https://www.msg.com/beacon-theatre/
The Waylon,"736 10th Ave, New York, NY 10019, USA",4.6,387,PRICE_LEVEL_INEXPENSIVE,ChIJKa9481BYwokRgYY2RmM3kbo,http://thewaylon.com/
The Carnegie Club,"156 W 56th St, New York, NY 10019, USA",4.6,1043,PRICE_LEVEL_EXPENSIVE,ChIJf1Qu2PlYwokRqH_b4rWvgT0,http://www.carnegie-club.com/
Smalls Jazz Club,"183 W 10th St, New York, NY 10014, USA",4.6,3621,PRICE_LEVEL_MODERATE,ChIJu55raJRZwokReRL9b1tLmQo,http://www.smallslive.com/
Village Vanguard,"178 7th Ave S, New York, NY 10014, USA",4.6,2053,PRICE_LEVEL_MODERATE,ChIJ1Y0Fz5VZwokRia-gnWy02iE,http://www.villagevanguard.com/
Dizzy's Club,"10 Columbus Cir, New York, NY 10019, USA",4.6,1284,PRICE_LEVEL_EXPENSIVE,ChIJp3PsL_ZYwokRUH1k95teGuM,http://jazz.org/dizzys
Infosys Theater at Madison Square Garden,"4 Pennsylvania Plaza, New York, NY 10001, USA",4.6,3737,N/A,ChIJJXfoP65ZwokRPY3oaITdpew,https://www.msg.com/infosys-theater-at-msg
Jimmy's Corner,"140 W 44th St, New York, NY 10036, USA",4.6,2200,PRICE_LEVEL_INEXPENSIVE,ChIJqz-3FVVYwokRo_z9ZJDCM3g,https://m.facebook.com/jimmyscornernyc
The Stone,"55 W 13th St, New York, NY 10011, USA",4.6,113,N/A,ChIJHcAHxHhZwokRPZJp8zZjZ_U,http://thestonenyc.com/
Prohibition,"503 Columbus Ave, New York, NY 10024, USA",4.5,1031,PRICE_LEVEL_MODERATE,ChIJSc_3GIVYwokRh6OzVnCnh6g,http://prohibition.net/
Sony Hall,"235 W 46th St, New York, NY 10036, USA",4.5,2863,N/A,ChIJmVAzOVRYwokRz9Z560XWp78,https://sonyhall.com/
Shrine,"2271 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA",4.5,1995,PRICE_LEVEL_INEXPENSIVE,ChIJmU3ycHH2wokR6A8gMLe9sNY,http://www.shrinenyc.com/
Smoke Jazz & Supper Club,"2751 Broadway, New York, NY 10025, USA",4.5,1395,PRICE_LEVEL_MODERATE,ChIJS_7f3yT2wokR4dsAb0bTwDo,http://www.smokejazz.com/
The Bitter End,"147 Bleecker St, New York, NY 10012, USA",4.5,1005,PRICE_LEVEL_MODERATE,ChIJ3fYA6JFZwokREvGpQiCDe-4,http://www.bitterend.com/
Paddy Reilly's Music Bar,"519 2nd Ave, New York, NY 10016, USA",4.5,526,PRICE_LEVEL_INEXPENSIVE,ChIJfThpJAlZwokRiJwnvCW94SM,https://www.paddyreillysmusicbar.com/
Ashford & Simpson's Sugar Bar,"254 W 72nd St, New York, NY 10023, USA",4.5,1006,PRICE_LEVEL_MODERATE,ChIJyxs07mFYwokRGlBd5nyxHLc,http://www.sugarbarnyc.com/
Vida Verde - Tequila Bar,"248 W 55th St, New York, NY 10019, USA",4.5,4154,PRICE_LEVEL_MODERATE,ChIJlwif_1dYwokR9-Yo1aECAxk,https://www.vidaverdeny.com/
Tomi Jazz,"239 E 53rd St, New York, NY 10022, USA",4.5,2142,PRICE_LEVEL_MODERATE,ChIJVcSnm-NYwokRnGivcMPc81Q,http://www.tomijazz.com/
The Flatiron Room NoMad,"37 W 26th St, New York, NY 10010, USA",4.5,1964,PRICE_LEVEL_EXPENSIVE,ChIJiXS6uaVZwokRqjgLG65i9Gk,http://www.theflatironroom.com/
The Iridium,"1650 Broadway, New York, NY 10019, USA",4.5,935,PRICE_LEVEL_EXPENSIVE,ChIJ_85dJlZYwokRzdVz7YJQOWs,https://www.theiridium.com/
Gramercy Theatre,"127 E 23rd St, New York, NY 10010, USA",4.5,2286,PRICE_LEVEL_EXPENSIVE,ChIJTS3yxaBZwokRBrGpYwYUquc,https://www.thegramercytheatre.com/?utm_source=GMBlisting&utm_medium=organic
The Town Hall,"123 W 43rd St, New York, NY 10036, USA",4.5,2666,N/A,ChIJc4_aOVVYwokRtXeQnWGC9RA,http://thetownhall.org/
All Blues,"87 Walker St, New York, NY 10013, USA",4.5,177,N/A,ChIJdROsbwBbwokRHl54aM_rAsc,http://www.allbluesnyc.com/
The Red Lion | NYC,"151 Bleecker St, New York, NY 10012, USA",4.4,1911,PRICE_LEVEL_MODERATE,ChIJP-ez6JFZwokRmE9GgYPsvUA,http://redlionnyc.com/
The Cutting Room,"44 E 32nd St, New York, NY 10016, USA",4.4,1406,PRICE_LEVEL_MODERATE,ChIJg9KWRqRZwokRdBRkRYL_i3g,http://thecuttingroomnyc.com/
Chelsea Music Hall,"407 W 15th St, New York, NY 10011, USA",4.4,349,N/A,ChIJqQNiEulZwokRDMBf4Fc7fjg,http://www.chelseamusichall.com/
The Rum House,"228 W 47th St, New York, NY 10036, USA",4.4,2104,PRICE_LEVEL_MODERATE,ChIJq38lzVVYwokRSQFHWasfeqc,http://www.therumhousenyc.com/
The Mean Fiddler,"266 W 47th St, New York, NY 10036, USA",4.4,3647,PRICE_LEVEL_MODERATE,ChIJ31JwJFRYwokRm6Rn7JHDcms,https://themeanfiddlernyc.com/
No Work Allowed,"235 E 53rd St Basement, New York, NY 10022, USA",4.4,357,N/A,ChIJhQG76axZwokRCNRGqTNQkTs,N/A
The Jazz Club at Aman New York,"The Crown Building, 9 W 56th St, New York, NY 10019, USA",4.4,190,N/A,ChIJMy0N8ixZwokRn5LaNonhDkE,https://www.thejazzclub.com/
Zinc Bar,"82 W 3rd St, New York, NY 10012, USA",4.4,858,PRICE_LEVEL_MODERATE,ChIJLbpJopFZwokRLqIadMHGxLs,https://www.zincbar.com/
Midnight Blue,"106 E 19th St, New York, NY 10003, USA",4.4,175,N/A,ChIJCRJkYQBZwokRQAl2244QXUQ,https://www.midnightbluegramercy.com/
LPR,"158 Bleecker St, New York, NY 10012, USA",4.4,2190,PRICE_LEVEL_EXPENSIVE,ChIJgx_u75FZwokRy5YwN6K5IG4,http://lpr.com/
Groove,"125 MacDougal St, New York, NY 10012, USA",4.3,1244,PRICE_LEVEL_MODERATE,ChIJkUHgeJFZwokRQXNa_wrBAqA,http://www.clubgroovenyc.com/
Bowery Palace,"327 Bowery, New York, NY 10003, USA",4.3,1158,PRICE_LEVEL_MODERATE,ChIJFf-pIIVZwokRPeulXUC6oqU,http://bowerypalace.com/
Cellar Dog,"75 Christopher St, New York, NY 10014, USA",4.3,657,PRICE_LEVEL_INEXPENSIVE,ChIJhWENSQ1ZwokRuuh2eZNUUSc,http://cellar.dog/
Irving Plaza,"17 Irving Pl, New York, NY 10003, USA",4.3,3185,PRICE_LEVEL_EXPENSIVE,ChIJ6TrvSZ9ZwokRwi40amv6-f4,https://www.irvingplaza.com/?utm_source=GMBlisting&utm_medium=organic
Webster Hall,"125 E 11th St, New York, NY 10003, USA",4.2,3096,PRICE_LEVEL_EXPENSIVE,ChIJhRtmUZlZwokRkQOpUZlUGZ8,https://www.websterhall.com/
Blue Note,"131 W 3rd St, New York, NY 10012, USA",4.2,5527,PRICE_LEVEL_EXPENSIVE,ChIJbfTV15NZwokRSeNM676BEZI,https://www.bluenotejazz.com/nyc/
Terminal 5,"610 W 56th St #612, New York, NY 10019, USA",4.2,4179,PRICE_LEVEL_EXPENSIVE,ChIJ888sEltYwokRoS0cjRDwMck,http://www.terminal5nyc.com/
Mona's,"224 Avenue B Unit 14, New York, NY 10009, USA",4.2,395,PRICE_LEVEL_INEXPENSIVE,ChIJjZDVonZZwokRoZPvylQfyFY,https://www.facebook.com/Monas-Bar-NYC-118839478171924/
The Django,"The Roxy Hotel, Cellar Level, 2 6th Ave, New York, NY 10013, USA",4.1,1187,PRICE_LEVEL_EXPENSIVE,ChIJ6wjtl4pZwokRC66KkQa9x9U,http://www.thedjangonyc.com/
Melody’s Piano Bar,"1020 Lexington Ave, New York, NY 10021, USA",4.1,275,N/A,ChIJTV4AtrpZwokR6ubmLj-VidA,http://www.melodyspianobar.com/
