Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
"Kate Oh Gallery, LLC","31 E 72nd St, New York, NY 10021, USA",5.0,126,N/A,ChIJdz9QW-tYwokRh-WyyCEJH9Q,http://www.kateohgallery.com/
Play Street Museum - Upper West Side,"805 Columbus Ave, New York, NY 10025, USA",4.9,472,N/A,ChIJz0JBrLn3wokRWUKelbmhl04,https://www.uws.playstreetmuseum.com/
iMUSEUM,"1 American Dream Wy b 152, East Rutherford, NJ 07073, USA",4.9,1042,N/A,ChIJTa32ADL5wokR_T8AqjZBtdE,https://www.visitimuseum.com/
The Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028, USA",4.8,92207,N/A,ChIJb8Jg9pZYwokR-qHGtvSkLzs,https://www.metmuseum.org/
9/11 Memorial & Museum,"180 Greenwich St, New York, NY 10007, USA",4.8,92805,N/A,ChIJRcvoOxpawokR7R4dQMXMMPQ,https://www.911memorial.org/
The Met Cloisters,"99 Margaret Corbin Dr, New York, NY 10040, USA",4.8,8669,N/A,ChIJK6bycAH0wokRrSnflfrnkZE,https://www.metmuseum.org/plan-your-visit/met-cloisters
Central Park,"New York, NY, USA",4.8,297549,N/A,ChIJ4zGFAZpYwokRGUGph3Mf37k,https://www.centralparknyc.org/
"Gilder Center for Science, Education, and Innovation","415 Columbus Ave, New York, NY 10024, USA",4.8,454,N/A,ChIJhZdFcLJZwokRoWu52hrqyZE,https://www.amnh.org/exhibitions/permanent/gilder-center
The Morgan Library & Museum,"225 Madison Ave, New York, NY 10016, USA",4.7,4927,PRICE_LEVEL_MODERATE,ChIJ3453OAdZwokRja92OOKCugM,https://www.themorgan.org/
SUMMIT One Vanderbilt,"45 E 42nd St, New York, NY 10017, USA",4.7,32889,N/A,ChIJd7I1IO5ZwokRbv7YUlgChl4,https://summitov.com/
Museum of Broadway,"145 W 45th St, New York, NY 10036, USA",4.7,1648,N/A,ChIJw7GUS-5ZwokRmhit4hpZT74,http://www.themuseumofbroadway.com/
Arte Museum New York,"61 Chelsea Piers, New York, NY 10011, USA",4.7,2657,N/A,ChIJC1UQPABZwokRtfrQRhle8Fo,https://newyork.artemuseum.com/
Banksy Museum New York,"277 Canal St, New York, NY 10013, USA",4.7,1283,N/A,ChIJ35PIDbVZwokRPCrsISHXdmg,https://museumbanksy.com/
Intrepid Museum,"Pier 86, W 46th St, New York, NY 10036, USA",4.7,45799,N/A,ChIJnxlg1U5YwokR8T90UrZiIwI,https://intrepidmuseum.org/
Merchant's House Museum,"29 E 4th St, New York, NY 10003, USA",4.7,521,N/A,ChIJCWqa2ppZwokRj3c3kcIR9x4,http://www.merchantshouse.org/
Poster House,"119 W 23rd St, New York, NY 10011, USA",4.7,840,N/A,ChIJ6UitwqRZwokR2UuUi8NrdAg,http://www.posterhouse.org/
American Museum of Natural History,"200 Central Prk W, New York, NY 10024, USA",4.6,23934,N/A,ChIJCXoPsPRYwokRsV1MYnKBfaI,https://www.amnh.org/
The Frick Collection,"1 E 70th St, New York, NY 10021, USA",4.6,4578,PRICE_LEVEL_MODERATE,ChIJHRH97uxYwokR6CBeDyn1jtg,https://www.frick.org/
The Museum of Modern Art,"11 W 53rd St, New York, NY 10019, USA",4.6,58679,N/A,ChIJKxDbe_lYwokRVf__s8CPn-o,https://www.moma.org/
Tenement Museum,"103 Orchard St, New York, NY 10002, USA",4.6,5831,N/A,ChIJ20bVJYdZwokRhI7esP3mYM0,https://www.tenement.org/
